num_ranks,num_phases,epsilon,noise_model,mean_makespan,std_makespan,ci95_makespan,mean_idle_waste,std_idle_waste,mean_amplification,std_amplification,mean_idle_fraction,mean_scaling_efficiency
16,500,0.1000,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
16,500,0.1000,GAUSSIAN,620.828600,1.440529,0.515487,1415.239467,20.444307,0.241657,0.002881,0.142471,0.805379
16,500,0.1000,LOGNORMAL,626.541533,1.480292,0.529716,1507.421133,21.798968,0.253083,0.002961,0.150368,0.798036
16,500,0.1000,BURSTY,694.293933,5.954733,2.130874,2166.730133,88.263382,0.388588,0.011909,0.194996,0.720207
16,500,0.2000,NONE,552.430000,0.000000,0.000000,0.000000,0.000000,0.104860,0.000000,0.000000,0.905092
16,500,0.2000,GAUSSIAN,709.020967,2.415573,0.864402,2833.025533,36.279712,0.418042,0.004831,0.249724,0.705206
16,500,0.2000,LOGNORMAL,733.086567,3.147015,1.126145,3217.441900,45.131677,0.466173,0.006294,0.274296,0.682060
16,500,0.2000,BURSTY,838.304433,10.503672,3.758691,4323.659600,153.059515,0.676609,0.021007,0.322263,0.596532
32,10,0.0100,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
32,10,0.0100,GAUSSIAN,10.975067,0.011371,0.004069,0.139333,0.057291,0.097507,0.001137,0.000397,0.911157
32,10,0.0100,LOGNORMAL,10.976033,0.010519,0.003764,0.146667,0.052741,0.097603,0.001052,0.000418,0.911077
32,10,0.0100,BURSTY,11.193267,0.047364,0.016949,3.083667,1.339916,0.119327,0.004736,0.008594,0.893410
32,10,0.0500,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
32,10,0.0500,GAUSSIAN,11.793800,0.126226,0.045169,35.127667,3.922018,0.179380,0.012623,0.092986,0.847997
32,10,0.0500,LOGNORMAL,11.850633,0.129356,0.046289,36.968467,4.190409,0.185063,0.012936,0.097386,0.843934
32,10,0.0500,BURSTY,13.035000,0.362068,0.129564,61.056100,11.515603,0.303500,0.036207,0.145746,0.767746
32,10,0.1000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
32,10,0.1000,GAUSSIAN,12.814533,0.174712,0.062520,66.618567,5.438981,0.281453,0.017471,0.162324,0.780504
32,10,0.1000,LOGNORMAL,12.988733,0.232916,0.083348,72.325000,7.156516,0.298873,0.023292,0.173776,0.770137
32,10,0.1000,BURSTY,15.293800,0.676679,0.242147,129.695900,20.450953,0.529380,0.067668,0.263700,0.655127
32,10,0.2000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
32,10,0.2000,GAUSSIAN,14.920333,0.289821,0.103711,134.263533,8.564126,0.492033,0.028982,0.281005,0.670471
32,10,0.2000,LOGNORMAL,15.713200,0.481357,0.172251,159.671300,14.356610,0.571320,0.048136,0.317019,0.636987
32,10,0.2000,BURSTY,19.448133,1.750733,0.626492,257.015500,53.327852,0.944813,0.175073,0.408540,0.518430
